,osid_scrambled,site,tid_scrambled,neighbor1_scrambled,shelf,path,lim,crsin,crsout,member_list,neighbor1_final,neighbor1_lim,neighbor2_final,pathindex,date
983,503-8fb5f-45,338,82e-0a518-2b,82e-0a518-2b,1,65,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;CMD44-1-84,338-82e-0a518-2b-2-68,LIM-2-2,-,1.0,2020/03/10
984,fdc-a2428-e7,339,e27-957d1-6f,afe-b9f62-22,3,68,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;LIM-3-2-5;LIM-3-2;OSC-3-1-1;WSSOPM-3-3,359-afe-b9f62-22-1-65,LIM-1-2,-,2.0,2020/03/10
985,fdc-a2428-e7,339,e27-957d1-6f,e27-957d1-6f,3,68,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;LIM-3-2-5;LIM-3-2;OSC-3-1-1;WSSOPM-3-3,339-e27-957d1-6f-6-204,LIM-6-2,-,2.0,2020/03/10
986,fb3-9e42e-86,339,e27-957d1-6f,570-58dd2-15,6,204,LIM-6-2,ADJ-6-2-8,ADJ-6-2-5,CMD44-6-83;LIM-6-2-8;LIM-6-2-5;LIM-6-2;OSC-6-1-1;WSSOPM-6-3;CMD44-6-84,341-570-58dd2-15-5-201,LIM-5-2,-,2.0,2020/03/10
987,fb3-9e42e-86,339,e27-957d1-6f,e27-957d1-6f,6,204,LIM-6-2,ADJ-6-2-8,ADJ-6-2-5,CMD44-6-83;LIM-6-2-8;LIM-6-2-5;LIM-6-2;OSC-6-1-1;WSSOPM-6-3;CMD44-6-84,339-e27-957d1-6f-3-68,LIM-3-2,-,2.0,2020/03/10
988,6c7-9047d-43,339,e27-957d1-6f,014-3c8ea-a2,5,249,LIM-5-2,ADJ-5-2-8,ADJ-5-2-5,CMD44-5-83;LIM-5-2-8;LIM-5-2-5;LIM-5-2;OSC-5-1-1;WSSOPM-5-3,408-014-3c8ea-a2-1-252,LIM-1-2,-,1.0,2020/03/10
989,6c7-9047d-43,339,e27-957d1-6f,e27-957d1-6f,5,249,LIM-5-2,ADJ-5-2-8,ADJ-5-2-5,CMD44-5-83;LIM-5-2-8;LIM-5-2-5;LIM-5-2;OSC-5-1-1;WSSOPM-5-3,339-e27-957d1-6f-3-68,LIM-3-2,-,1.0,2020/03/10
990,3ad-dbabb-c1,339,e27-957d1-6f,d6e-79485-0a,2,197,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;CMD44-2-84,332-d6e-79485-0a-1-200,LIM-1-2,-,1.0,2020/03/10
991,3ad-dbabb-c1,339,e27-957d1-6f,e27-957d1-6f,2,197,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;CMD44-2-84,339-e27-957d1-6f-3-68,LIM-3-2,-,1.0,2020/03/10
992,c85-8f358-8d,339,e27-957d1-6f,316-88214-94,4,157,LIM-4-2,ADJ-4-2-8,ADJ-4-2-5,CMD44-4-83;LIM-4-2-8;LIM-4-2-5;LIM-4-2;OSC-4-1-1;WSSOPM-4-3;CMD44-4-84,380-316-88214-94-2-160,LIM-2-2,-,1.0,2020/03/10
993,c85-8f358-8d,339,e27-957d1-6f,e27-957d1-6f,4,157,LIM-4-2,ADJ-4-2-8,ADJ-4-2-5,CMD44-4-83;LIM-4-2-8;LIM-4-2-5;LIM-4-2;OSC-4-1-1;WSSOPM-4-3;CMD44-4-84,339-e27-957d1-6f-3-68,LIM-3-2,-,1.0,2020/03/10
